Test Name,scix_normal_TTRL,scix_normal_TTSBI,scix_normal_TTRS,scix_normal_TTRR,bbb_normal_TTRL,bbb_normal_TTSBI,bbb_normal_TTRS,bbb_normal_TTRR,scix normal Number of Runs,bbb normal Number of Runs,scix_6x-cpu_TTRL,scix_6x-cpu_TTSBI,scix_6x-cpu_TTRS,scix_6x-cpu_TTRR,bbb_6x-cpu_TTRL,bbb_6x-cpu_TTSBI,bbb_6x-cpu_TTRS,bbb_6x-cpu_TTRR,scix 6x-cpu Number of Runs,bbb 6x-cpu Number of Runs
bibcode-search,3098.8260869565215,1662.0833333333333,1234.8695652173913,944.8695652173913,,,,,23,0,17135.478260869564,9007.107142857143,6438.913043478261,7117.739130434783,,,,,23,0
affiliation,3543.1304347826085,1690.4642857142858,1666.9565217391305,1250.7826086956522,,,,,23,0,19842.739130434784,8579.125,9639.95652173913,9074,,,,,23,0
title-keyword,3593.1304347826085,1709.6538461538462,1600.5652173913043,1201.304347826087,,,,,23,0,18796.91304347826,8756.2,8596.826086956522,10162.695652173914,,,,,23,0
full-text,3461.0434782608695,1686.3333333333333,1575.0869565217392,1179.4347826086957,,,,,23,0,19079.17391304348,8543.48,9092.565217391304,10419.347826086956,,,,,23,0
year-range,3711.1304347826085,1706.857142857143,1777.391304347826,1179.0434782608695,,,,,23,0,18605.125,8898.25,8444.5,9567.217391304348,,,,,24,0
abstract-keyword,3529.5652173913045,1711.3703703703704,1604.8695652173913,1244.0869565217392,,,,,23,0,19758.217391304348,8791.52,9335.260869565218,10226.217391304348,,,,,23,0
citations,3714.8695652173915,1758.25,1734.304347826087,1450.8695652173913,,,,,23,0,20681.739130434784,9116.142857142857,9789.652173913044,10374.045454545454,,,,,23,0
first-author,3524.625,1710.7586206896551,1568.8333333333333,1220.9166666666667,,,,,24,0,19831.217391304348,9381.2,9053.304347826086,9992.681818181818,,,,,23,0
pub-type,3401.304347826087,1624.9583333333333,1528.6521739130435,1155.7826086956522,,,,,23,0,21162.869565217392,9249.333333333334,9739.130434782608,10732.217391304348,,,,,23,0
arxiv-id,3044.695652173913,1637.3703703703704,1215.608695652174,836.1304347826087,,,,,23,0,17078.434782608696,8997.307692307691,6248.217391304348,5755.347826086957,,,,,23,0
or-search,3477.7391304347825,1634.6296296296296,1588.2173913043478,1196.2608695652175,,,,,23,0,20091,9068.5,9225.826086956522,9613,,,,,23,0
keyword-search,3451,1691.08,1577.4782608695652,1185.695652173913,,,,,23,0,20626.608695652172,9057.296296296296,9882.91304347826,10236.95652173913,,,,,23,0
and-search,3409.5652173913045,1666.4814814814815,1531,1144,,,,,23,0,19997,9035,9150.260869565218,8324.869565217392,,,,,23,0
not-search,3375.608695652174,1638.3846153846155,1511.0434782608695,1066.0434782608695,,,,,23,0,21263.227272727272,9261.32142857143,9724.272727272728,10616.045454545454,,,,,22,0
journal-search,3453.086956521739,1678.5,1575.608695652174,1201.0454545454545,,,,,23,0,21009.909090909092,9329.642857142857,9690.59090909091,9998.454545454546,,,,,22,0
pub-date,3425.391304347826,1713.2307692307693,1470.5217391304348,1206.0869565217392,,,,,23,0,18604.81818181818,9119.4,8240.272727272728,8209.5,,,,,22,0
cited-by-author,3615.0434782608695,1707.6785714285713,1649.9565217391305,1148.304347826087,,,,,23,0,19747.136363636364,8942.034482758621,9237.954545454546,9587.318181818182,,,,,22,0
title-citations,3210.1304347826085,1612.3214285714287,1470.304347826087,1044.0869565217392,,,,,23,0,19765.81818181818,8910.933333333332,9295,8910.454545454546,,,,,22,0
year-range-journal-citations,3405.086956521739,1681.0689655172414,1562.1304347826087,1151.4347826086957,,,,,23,0,20086.363636363636,8892.75,9384.727272727272,8225.5,,,,,22,0
full-text-references,3506.2608695652175,1708.1666666666667,1596.1739130434783,1181.9565217391305,,,,,23,0,18961.782608695652,8778.67857142857,8552.130434782608,10371.217391304348,,,,,23,0
arxiv-citations,3371.409090909091,1575,1577.8181818181818,1189,,,,,22,0,18907.782608695652,8320.25925925926,9154.304347826086,8421.818181818182,,,,,23,0
keyword-cited-references,3431.4347826086955,1611.0689655172414,1596.3478260869565,1185.0454545454545,,,,,23,0,18991,8365.444444444445,9199,10220.130434782608,,,,,23,0
pub-type-citations-year,3457.9565217391305,1661.344827586207,1585,1150.391304347826,,,,,23,0,18876.25,8665.392857142857,8787.75,9139.782608695652,,,,,24,0
author-citations-title-abstract,3327.217391304348,1633.2592592592594,1497.2608695652175,1120.391304347826,,,,,23,0,20202.590909090908,8871.07142857143,9172.727272727272,9565.636363636364,,,,,22,0
multi-field-nested-citations,2901.1739130434785,1583.2857142857142,1132.2608695652175,753.8695652173913,,,,,23,0,16998.869565217392,8531.222222222223,6517.521739130435,5917.772727272727,,,,,23,0
author-or-title-citations-journal,3420.0434782608695,1649.16,1548.4782608695652,989.9130434782609,,,,,23,0,20884.409090909092,9126.566666666668,9618.5,8634.57142857143,,,,,22,0
