Test Name,scix_normal_TTRL,scix_normal_TTSBI,scix_normal_TTRS,scix_normal_TTRR,bbb_normal_TTRL,bbb_normal_TTSBI,bbb_normal_TTRS,bbb_normal_TTRR,scix normal Number of Runs,bbb normal Number of Runs,scix_6x-cpu_TTRL,scix_6x-cpu_TTSBI,scix_6x-cpu_TTRS,scix_6x-cpu_TTRR,bbb_6x-cpu_TTRL,bbb_6x-cpu_TTSBI,bbb_6x-cpu_TTRS,bbb_6x-cpu_TTRR,scix 6x-cpu Number of Runs,bbb 6x-cpu Number of Runs
first-author,4290.33014354067,2052.751196172249,1929.9186602870814,1610.33,,,,,209,0,25847.837438423645,12209.645320197043,11405.679802955665,12272.206030150754,,,,,203,0
affiliation,4275.089552238806,2016.5174129353234,1965.5273631840796,1479.94,,,,,201,0,25908.81683168317,11481.301980198019,12270.49504950495,12710.975,,,,,202,0
title-keyword,4425.632075471698,2133.7075471698113,1979.6462264150944,1501.44,,,,,212,0,25148.802955665025,11667.009852216748,11302.63054187192,13135.96984924623,,,,,203,0
abstract-keyword,4245.536585365854,2004.448780487805,1953.6146341463414,1532.391959798995,,,,,205,0,26388.759615384617,11451.211538461539,12762.649038461539,13717.53,,,,,208,0
year-range,4504.154228855721,2105.8905472636816,2086.373134328358,1537.76,,,,,201,0,25504.852941176472,11909.799019607843,11430.200980392157,13384.05,,,,,204,0
pub-type,4277.985,2027.66,1933.895,1339.285,,,,,200,0,26109.847619047618,11442.747619047619,12347.690476190477,12437.929648241206,,,,,210,0
arxiv-id,3686.676616915423,1986.676616915423,1396.6069651741293,976.935,,,,,201,0,22467.73631840796,11620.293532338308,8479.427860696518,7205.875,,,,,201,0
keyword-search,4221.980487804878,2022.7853658536585,1907.2439024390244,1543.5,,,,,205,0,26782.827586206895,11456.344827586207,13044.098522167487,13342.61,,,,,203,0
or-search,4139.792270531401,2061.9613526570047,1795.342995169082,1429.175,,,,,207,0,26302.598039215685,11887.735294117647,11999.843137254902,12794.395,,,,,204,0
bibcode-search,3754.92,2087.965,1378.255,1077.18,,,,,200,0,21902.125,11462.41,8284.665,8428.635,,,,,200,0
citations,4623.880952380952,2101.9190476190474,2204.6761904761906,1705.245,,,,,210,0,26844.560975609755,12250.048780487805,12453.468292682926,13577.275,,,,,205,0
full-text,4296.702970297029,2054.0841584158416,1951.2772277227723,1372.5577889447236,,,,,202,0,25469.703883495145,11508.57281553398,11828.83495145631,13312.425,,,,,206,0
and-search,4112.35,1983.645,1848.005,1313.54,,,,,200,0,26100.197044334975,12172.704433497536,11557.448275862069,10451.03,,,,,203,0
journal-search,4409.971563981043,2061.796208530806,2021.952606635071,1681.9095477386934,,,,,211,0,26676.74396135266,12365.835748792271,11901.59420289855,13317.205,,,,,207,0
pub-date,4215.325242718447,2085.8106796116504,1820.9368932038835,1430.32,,,,,206,0,24777.80198019802,12156.633663366336,10419.064356435643,10705.455,,,,,202,0
not-search,4299.064356435643,2015.1633663366338,1981.6881188118812,1452.795,,,,,202,0,26539.063414634147,12377.253658536585,11780.71219512195,12438.52,,,,,205,0
cited-by-author,4420.056074766355,2123.8177570093458,1990.4906542056074,1521.71,,,,,214,0,25742.063106796115,11936.912621359223,11609.16504854369,12788.745,,,,,206,0
title-citations,4390.118181818182,2113.45,1972.509090909091,1401.21608040201,,,,,220,0,25582.52736318408,11761,11616.02487562189,12136.895,,,,,201,0
year-range-journal-citations,4343.11,2069.055,1995.29,1328.475,,,,,200,0,26061.320197044333,11600.610837438424,12275.822660098522,10754.315,,,,,203,0
full-text-references,4236.985849056604,2027.698113207547,1926.0896226415093,1436.06,,,,,212,0,25878.29702970297,11555.118811881188,12083.79702970297,13021.105,,,,,202,0
pub-type-citations-year,4263.235,2017.485,1964.09,1435.99,,,,,200,0,26192.148514851484,11538.965346534653,12400.381188118812,11931.525,,,,,202,0
keyword-cited-references,4243.937198067633,2013.502415458937,1948.2657004830917,1520.2,,,,,207,0,26201.21,11642.92,12337.07,12671.56,,,,,200,0
arxiv-citations,4218.177884615385,2010.8413461538462,1925.2692307692307,1434.765,,,,,208,0,26073.262376237624,11668.89108910891,12221.029702970298,11211.155,,,,,202,0
multi-field-nested-citations,3703.815,2005.495,1415.1,948.665,,,,,200,0,22442.679802955667,11589.75369458128,8555.379310344828,6695.365,,,,,203,0
author-citations-title-abstract,4157.390476190476,2015.3380952380953,1862.4142857142858,1390.0251256281408,,,,,210,0,25423.41,11619.86,11450.02,11494.585,,,,,200,0
author-or-title-citations-journal,4261.79,2021.04,1964.78,1281.695,,,,,200,0,25744.28855721393,11805.462686567163,11596.223880597016,9976.72,,,,,201,0
