Test Name,scix_normal_TTRL,scix_normal_TTSBI,scix_normal_TTRS,scix_normal_TTRR,bbb_normal_TTRL,bbb_normal_TTSBI,bbb_normal_TTRS,bbb_normal_TTRR,scix normal Number of Runs,bbb normal Number of Runs,scix_6x-cpu_TTRL,scix_6x-cpu_TTSBI,scix_6x-cpu_TTRS,scix_6x-cpu_TTRR,bbb_6x-cpu_TTRL,bbb_6x-cpu_TTSBI,bbb_6x-cpu_TTRS,bbb_6x-cpu_TTRR,scix 6x-cpu Number of Runs,bbb 6x-cpu Number of Runs
bibcode-search,3555.2,1966.6,1343.8,1055.8,,,,,5,0,16155.2,8832.857142857143,6326.8,5483.4,,,,,5,0
year-range,3443.2,1697.2,1565.6,1459.6,,,,,5,0,22635,8946.285714285714,11445,11039.75,,,,,5,0
first-author,3733.8,1838.5714285714287,1672.6,1447,,,,,5,0,19133.6,8353.5,9038.6,10083,,,,,5,0
affiliation,4044,1913.8,1880.2,1603.4,,,,,5,0,21012.166666666668,9914.5,9450.333333333334,7676.5,,,,,6,0
abstract-keyword,4191.2,1987,1921.2,1474.8,,,,,5,0,20819.4,9177.5,9690.8,8263.6,,,,,5,0
citations,4265.6,1884.142857142857,1977.4,1524.4,,,,,5,0,21356.8,8397.5,11120,11509.4,,,,,5,0
pub-type,3473,1828.2,1405,1112.6,,,,,5,0,16004.5,8486.625,6784,6846,,,,,4,0
arxiv-id,2757.6,1663.7142857142858,952,748.8,,,,,5,0,13819,7942.555555555556,4875.5,4583,,,,,4,0
keyword-search,3553.2,1790,1472.6,1185.4,,,,,5,0,15508.75,8546.333333333334,6650.25,8566.75,,,,,4,0
or-search,3497.6,1631.142857142857,1521.6,1052.6,,,,,5,0,17667,8474.625,8361.25,10496.5,,,,,4,0
title-keyword,3520.8,1762.5714285714287,1540.8,930.75,,,,,5,0,23927.2,9880.5,11457.6,9910.4,,,,,5,0
full-text,3899.4,1928,1636,993.5,,,,,5,0,21097,10001.666666666666,10102.2,8843.75,,,,,5,0
and-search,3634.8,1852.3333333333333,1485.2,1022.8,,,,,5,0,17081,8251.857142857143,7753.75,7922.25,,,,,4,0
not-search,3278,1702.875,1295.75,945,,,,,4,0,17877.4,7859.142857142857,8638.6,10543.2,,,,,5,0
journal-search,2861,1508.2857142857142,1322.8,990.8,,,,,5,0,20445.6,8196.857142857143,9994.6,10317.2,,,,,5,0
pub-date,2919.2,1713.7142857142858,1146.6,848,,,,,5,0,18280.8,8240.666666666666,8102.8,8284.4,,,,,5,0
cited-by-author,3327.8,1771.5,1450,1100.6,,,,,5,0,19283.4,8620.285714285714,9112,9490.4,,,,,5,0
title-citations,3503.6,1792.3333333333333,1535.2,1428,,,,,5,0,19588.2,8633.57142857143,9044.6,8355.8,,,,,5,0
year-range-journal-citations,3733.8,1778.8333333333333,1642.8,1260.6,,,,,5,0,19615.4,9125.666666666666,9171.8,6664.2,,,,,5,0
full-text-references,3936.2,2022.8,1670.4,1491.2,,,,,5,0,17574.6,8600,7556.8,8510.2,,,,,5,0
pub-type-citations-year,3915.6,1935.3333333333333,1705,1151.2,,,,,5,0,18004.6,8686.857142857143,7648.6,6899.4,,,,,5,0
keyword-cited-references,3542,1677,1567.4,1447.2,,,,,5,0,15583.8,8326.125,6998.6,7835.8,,,,,5,0
arxiv-citations,4916.2,1826,2705.4,1208.2,,,,,5,0,16092.2,8133.888888888889,7589.4,8261.4,,,,,5,0
multi-field-nested-citations,3125.2,1650.5714285714287,1148,817,,,,,5,0,14977.6,8493,5878.2,4863.4,,,,,5,0
author-citations-title-abstract,2857.6,1731.75,1165.6,1138.4,,,,,5,0,16492.333333333332,8229.888888888889,7218,7850.6,,,,,6,0
author-or-title-citations-journal,3113.6,1637,1359,1068.8,,,,,5,0,18734.4,8551.5,8346,6630.4,,,,,5,0
